id_municipio,sigla_uf,regiao,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8,cluster_k9,cluster_k10
1703867,TO,Norte,0,1,2,4,4,1,0,5,7
1703883,TO,Norte,0,1,2,4,4,1,0,2,0
1703891,TO,Norte,1,2,3,0,5,0,7,8,9
1703909,TO,Norte,0,1,2,2,3,4,1,3,6
1704105,TO,Norte,1,2,1,3,5,0,1,3,6
1704600,TO,Norte,0,1,2,4,4,1,3,5,7
1705102,TO,Norte,0,1,2,4,4,1,3,5,7
1705508,TO,Norte,0,0,0,1,0,3,4,4,8
1705557,TO,Norte,0,1,2,4,4,1,0,2,0
1705607,TO,Norte,1,2,3,0,5,0,7,8,9
1706001,TO,Norte,1,2,3,0,5,0,7,8,9
1706100,TO,Norte,0,1,2,2,3,4,1,2,2
1706258,TO,Norte,0,1,2,2,3,4,1,3,6
1706506,TO,Norte,0,1,2,2,3,4,1,3,6
1707009,TO,Norte,0,0,1,2,3,4,1,3,6
1707108,TO,Norte,0,1,2,2,3,4,3,5,7
1707207,TO,Norte,1,2,1,3,5,0,7,3,6
1707306,TO,Norte,0,1,2,2,3,4,1,3,6
1707405,TO,Norte,1,2,1,3,1,5,2,0,3
1707553,TO,Norte,0,1,2,4,4,1,0,2,2
1707652,TO,Norte,0,1,2,2,3,4,3,2,2
1707702,TO,Norte,1,2,3,0,5,0,7,8,3
1708205,TO,Norte,1,2,1,3,1,5,1,3,6
1708254,TO,Norte,0,1,2,2,3,4,3,2,2
1708304,TO,Norte,1,1,3,0,5,0,7,2,2
1709005,TO,Norte,1,2,3,0,2,6,5,7,3
1709302,TO,Norte,0,0,0,1,0,3,0,4,8
1709500,TO,Norte,0,0,0,1,0,3,4,1,4
1709807,TO,Norte,0,1,3,0,2,6,5,2,2
1710508,TO,Norte,1,2,3,0,5,0,7,8,9
1710706,TO,Norte,1,2,3,0,5,0,7,8,9
1710904,TO,Norte,0,1,2,4,4,1,3,5,7
1711100,TO,Norte,0,1,2,2,3,4,3,2,2
1711506,TO,Norte,1,2,3,0,2,6,5,7,6
1711803,TO,Norte,0,1,2,4,5,0,7,8,9
1711902,TO,Norte,0,1,2,2,3,4,1,3,6
1711951,TO,Norte,0,1,2,4,3,4,3,2,2
1712009,TO,Norte,1,2,3,0,5,0,7,8,9
1712157,TO,Norte,0,1,2,4,5,0,7,8,9
