threshold,accuracy,balanced_accuracy,precision_risk,recall_risk,recall_alfabetizado,f1_risk,taxa_predita_risco,tp_risk,fp_risk,fn_risk,tn_risk,modelo
0.3,0.453142748013886,0.5244846129751386,0.4290568065595368,0.9498578468839846,0.09911137906629269,0.5911068875101374,0.9212667744204354,594024,790464,31358,86963,random_forest
0.31,0.4575218806914252,0.5268983713972855,0.430519173017905,0.9405531339245453,0.11324360887002566,0.5906707550670273,0.9091434773148152,588205,778064,37177,99363,random_forest
0.32,0.46384137970959716,0.5299545605136033,0.4325122843043783,0.924151958323073,0.1357571627041338,0.5892498113823127,0.8891735410155249,577948,758310,47434,119117,random_forest
0.33,0.47330698711546176,0.5349967090496395,0.43587182161437327,0.9028193967846851,0.1671740213145937,0.5879078455985293,0.861953182340537,564607,730744,60775,146683,random_forest
0.34,0.48114164873912785,0.5389671338548436,0.4387314691698585,0.883749452334733,0.19418481537495427,0.5863656545755759,0.8382469096205839,552681,707044,72701,170383,random_forest
0.35,0.4908228524050628,0.5433414027326997,0.4422766644372332,0.8564813186180606,0.23020148684733888,0.583329158616724,0.8058708724794701,535628,675442,89754,201985,random_forest
0.36,0.49959642243292396,0.5471581868094667,0.44568509890683056,0.8307434496036022,0.26357292401533117,0.580134276900744,0.7756760839201788,519532,646161,105850,231266,random_forest
0.37,0.5063065233173344,0.549331890528656,0.44817905250080703,0.8058690528349073,0.2927947282224048,0.5760123985715583,0.7482634187045726,503976,620521,121406,256906,random_forest
0.38,0.5159957120299385,0.5530125243259495,0.4523318968337805,0.7737238999523491,0.3323011486995499,0.570903869478831,0.7118203311265769,483873,585857,141509,291570,random_forest
0.39,0.5219492297424356,0.550936041052325,0.4534023305596208,0.7237688324895823,0.3781032496150677,0.5575374010813687,0.664290006248299,452632,545669,172750,331758,random_forest
0.4,0.5292322577253663,0.5527010221504298,0.45672134051445995,0.6926326629164254,0.41276938138443425,0.550465944081627,0.6310928401413619,433160,515252,192222,362175,random_forest
0.41,0.5362231660843128,0.5531506613108275,0.4597689521921217,0.6540802261657674,0.4522210964558875,0.5399757634640822,0.5920153525830628,409050,480636,216332,396791,random_forest
